"location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k"
"China","2020-04-08",82784,86,3337,2,57.516,0.06,2.318,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-09",82870,86,3339,2,57.576,0.06,2.32,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-10",82925,55,3340,1,57.614,0.038,2.321,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-11",83004,79,3343,3,57.669,0.055,2.323,0.002,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-12",83097,93,3343,0,57.733,0.065,2.323,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-13",83209,112,3345,2,57.811,0.078,2.324,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-14",83303,94,3345,0,57.876,0.065,2.324,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-15",83352,49,3346,1,57.911,0.034,2.325,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-16",83402,50,3346,0,57.945,0.035,2.325,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-17",83754,40,4636,1,58.19,0.245,3.221,0.896,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-18",83785,31,4636,0,58.211,0.022,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-19",83803,18,4636,0,58.224,0.013,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-20",83817,14,4636,0,58.234,0.01,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-21",83849,32,4636,0,58.256,0.022,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-22",83864,15,4636,0,58.266,0.01,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-23",83876,12,4636,0,58.275,0.008,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-24",83884,8,4636,0,58.28,0.006,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-25",83899,15,4636,0,58.291,0.01,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-26",83909,10,4636,0,58.298,0.007,3.221,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-27",83912,3,4637,1,58.3,0.002,3.222,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-28",83938,26,4637,0,58.318,0.018,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-29",83940,2,4637,0,58.319,0.001,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-30",83944,4,4637,0,58.322,0.003,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-01",83956,12,4637,0,58.33,0.008,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-02",83959,3,4637,0,58.332,0.002,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-03",83961,2,4637,0,58.334,0.001,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-04",83964,3,4637,0,58.336,0.002,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-05",83966,2,4637,0,58.337,0.001,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-06",83968,2,4637,0,58.339,0.001,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-07",83970,2,4637,0,58.34,0.001,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-08",83976,6,4637,0,58.344,0.004,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-09",83976,0,4637,0,58.344,0,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-10",83991,15,4637,0,58.354,0.01,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-05-11",84010,19,4637,0,58.368,0.013,3.222,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
